,act_fun,batch_size,dropout_frac,lr,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
577,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4745762711864407,0.808641975308642
582,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4745762711864407,0.808641975308642
193,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.01,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.47368421052631576,0.7530864197530864
192,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.01,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.47368421052631576,0.7530864197530864
258,<function selu at 0x7f5bf5c0bba0>,128,0.7,0.001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4722222222222222,0.7654320987654321
259,<function selu at 0x7f5bf5c0bba0>,128,0.7,0.001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4722222222222222,0.7654320987654321
48,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.01,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.47058823529411764,0.7777777777777778
49,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.01,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.47058823529411764,0.7777777777777778
579,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.46875,0.7901234567901234
464,<function selu at 0x7f5bf5c0bba0>,64,0.7,0.001,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.46875,0.7901234567901234
578,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.46875,0.7901234567901234
465,<function selu at 0x7f5bf5c0bba0>,64,0.7,0.001,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.46875,0.7901234567901234
155,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4675324675324675,0.7469135802469136
154,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4675324675324675,0.7469135802469136
156,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,300,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4666666666666667,0.8024691358024691
361,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4666666666666667,0.8024691358024691
360,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4666666666666667,0.8024691358024691
